,Unnamed: 0,gender,path,AgeGroup
0,26531,male,wiki_crop/01/5638201_1987-04-09_2008.jpg,"(15, 20)"
1,31374,male,wiki_crop/29/17736629_1986-04-11_2015.jpg,"(25, 32)"
2,34228,male,wiki_crop/12/1474512_1977-07-28_2006.jpg,"(25, 32)"
3,15787,male,wiki_crop/46/9308646_1966-08-23_2006.jpg,"(38, 43)"
4,38463,male,wiki_crop/44/7062344_1963-08-21_2013.jpg,"(48, 53)"
5,23603,female,wiki_crop/93/2440593_1980-08-11_2007.jpg,"(25, 32)"
6,37004,male,wiki_crop/91/3296491_1955-07-15_2007.jpg,"(48, 53)"
7,1474,male,wiki_crop/53/3289053_1951-05-02_2012.jpg,"(60, 100)"
8,9893,male,wiki_crop/10/23830110_1964-07-22_2013.jpg,"(48, 53)"
9,11689,female,wiki_crop/56/14853156_1981-05-28_2009.jpg,"(25, 32)"
10,10779,male,wiki_crop/67/3493767_1980-10-08_2008.jpg,"(25, 32)"
11,23894,male,wiki_crop/36/24124736_1993-09-26_2012.jpg,"(15, 20)"
12,15211,male,wiki_crop/82/21134682_1949-05-03_2011.jpg,"(60, 100)"
13,31539,male,wiki_crop/32/1500332_1986-04-10_2014.jpg,"(25, 32)"
14,17012,male,wiki_crop/31/2328031_1935-08-28_2011.jpg,"(60, 100)"
15,36763,female,wiki_crop/91/44240291_1987-04-01_2014.jpg,"(25, 32)"
16,28663,male,wiki_crop/61/1556361_1941-01-18_1967.jpg,"(25, 32)"
17,17651,male,wiki_crop/96/31983896_1985-07-14_2014.jpg,"(25, 32)"
18,12316,male,wiki_crop/17/17861317_1986-12-18_2014.jpg,"(25, 32)"
19,34992,male,wiki_crop/19/274519_1913-01-15_1966.jpg,"(48, 53)"
20,29412,female,wiki_crop/29/5242829_1948-07-06_2010.jpg,"(60, 100)"
21,23802,male,wiki_crop/18/39317718_1934-06-21_1987.jpg,"(48, 53)"
22,29680,female,wiki_crop/90/895690_1980-09-09_2012.jpg,"(25, 32)"
23,12100,male,wiki_crop/41/169941_1937-04-06_2013.jpg,"(60, 100)"
24,32162,male,wiki_crop/35/22464535_1955-05-16_2009.jpg,"(48, 53)"
25,29604,male,wiki_crop/51/4826551_1986-02-22_2014.jpg,"(25, 32)"
26,16218,male,wiki_crop/47/470347_1972-12-12_2012.jpg,"(38, 43)"
27,30845,male,wiki_crop/41/35489541_1872-01-02_1940.jpg,"(60, 100)"
28,35420,male,wiki_crop/66/25288166_1956-12-20_2009.jpg,"(48, 53)"
29,4478,male,wiki_crop/84/1679684_1943-12-25_1985.jpg,"(38, 43)"
