,Age,Gender,Path
0,"(25, 32)",Male,wiki_crop/01/5638201_1987-04-09_2008.jpg
1,"(25, 32)",Male,wiki_crop/29/17736629_1986-04-11_2015.jpg
2,"(25, 32)",Male,wiki_crop/12/1474512_1977-07-28_2006.jpg
3,"(38, 43)",Male,wiki_crop/46/9308646_1966-08-23_2006.jpg
4,"(25, 32)",Female,wiki_crop/93/2440593_1980-08-11_2007.jpg
5,"(25, 32)",Male,wiki_crop/10/23830110_1964-07-22_2013.jpg
6,"(48, 53)",Male,wiki_crop/56/14853156_1981-05-28_2009.jpg
7,"(25, 32)",Male,wiki_crop/67/3493767_1980-10-08_2008.jpg
8,"(60, 100)",Female,wiki_crop/82/21134682_1949-05-03_2011.jpg
9,"(48, 53)",Male,wiki_crop/32/1500332_1986-04-10_2014.jpg
10,"(38, 43)",Male,wiki_crop/31/2328031_1935-08-28_2011.jpg
11,"(25, 32)",Male,wiki_crop/91/44240291_1987-04-01_2014.jpg
12,"(8, 12)",Male,wiki_crop/96/31983896_1985-07-14_2014.jpg
13,"(48, 53)",Male,wiki_crop/19/274519_1913-01-15_1966.jpg
14,"(48, 53)",Female,wiki_crop/29/5242829_1948-07-06_2010.jpg
15,"(25, 32)",Male,wiki_crop/18/39317718_1934-06-21_1987.jpg
16,"(25, 32)",Female,wiki_crop/90/895690_1980-09-09_2012.jpg
17,"(25, 32)",Male,wiki_crop/35/22464535_1955-05-16_2009.jpg
18,"(8, 12)",Male,wiki_crop/51/4826551_1986-02-22_2014.jpg
19,"(38, 43)",Male,wiki_crop/41/35489541_1872-01-02_1940.jpg
20,"(38, 43)",Male,wiki_crop/66/25288166_1956-12-20_2009.jpg
21,"(38, 43)",Male,wiki_crop/99/2592299_1963-05-23_2014.jpg
22,"(8, 12)",Male,wiki_crop/47/8322947_1981-07-30_2012.jpg
23,"(25, 32)",Male,wiki_crop/53/32752453_1992-01-20_2013.jpg
24,"(8, 12)",Male,wiki_crop/99/21463899_1990-08-10_2011.jpg
25,"(25, 32)",Male,wiki_crop/17/41699817_1945-09-22_1971.jpg
26,"(8, 12)",Male,wiki_crop/69/36291769_1951-01-07_1972.jpg
27,"(25, 32)",Male,wiki_crop/71/27164771_1990-09-17_2009.jpg
28,"(38, 43)",Male,wiki_crop/06/149006_1941-04-08_2014.jpg
29,"(25, 32)",Male,wiki_crop/15/307715_1927-02-02_1958.jpg
30,"(38, 43)",Male,wiki_crop/21/3606121_1977-05-06_2009.jpg
31,"(25, 32)",Male,wiki_crop/62/1410862_1956-08-11_2010.jpg
32,"(25, 32)",Female,wiki_crop/98/8654898_1979-05-14_2009.jpg
33,"(38, 43)",Male,wiki_crop/02/6748002_1946-11-12_2010.jpg
34,"(8, 12)",Female,wiki_crop/07/27981607_1960-07-08_2009.jpg
35,"(38, 43)",Male,wiki_crop/44/640144_1962-01-23_2013.jpg
36,"(25, 32)",Male,wiki_crop/72/1402672_1983-10-12_2014.jpg
37,"(25, 32)",Male,wiki_crop/87/646487_1918-05-09_1957.jpg
38,"(25, 32)",Male,wiki_crop/03/44903_1921-03-11_1971.jpg
39,"(25, 32)",Female,wiki_crop/40/1723540_1955-12-08_2009.jpg
40,"(38, 43)",Male,wiki_crop/19/965919_1936-05-23_1989.jpg
41,"(25, 32)",Male,wiki_crop/75/36347975_1984-05-14_2012.jpg
42,"(25, 32)",Male,wiki_crop/71/4274271_1984-02-20_2010.jpg
43,"(25, 32)",Male,wiki_crop/12/25854312_1968-05-02_2010.jpg
44,"(8, 12)",Male,wiki_crop/87/28156087_1990-08-01_2011.jpg
45,"(25, 32)",Male,wiki_crop/54/28260854_1981-07-16_2014.jpg
46,"(25, 32)",Male,wiki_crop/28/42583728_1980-07-09_2013.jpg
47,"(38, 43)",Male,wiki_crop/25/589725_1971-03-27_2014.jpg
48,"(8, 12)",Female,wiki_crop/66/22361366_1971-06-24_2012.jpg
49,"(38, 43)",Male,wiki_crop/24/46626324_1965-01-09_2015.jpg
50,"(60, 100)",Male,wiki_crop/78/574578_1931-06-28_2007.jpg
51,"(60, 100)",Female,wiki_crop/38/1213038_1945-03-09_1972.jpg
52,"(60, 100)",Male,wiki_crop/82/42152982_1929-12-24_2007.jpg
53,"(25, 32)",Male,wiki_crop/17/113617_1946-02-26_2009.jpg
54,"(60, 100)",Male,wiki_crop/48/4476548_1962-07-24_2014.jpg
55,"(38, 43)",Male,wiki_crop/80/9076080_1971-09-21_2011.jpg
56,"(8, 12)",Female,wiki_crop/96/25468896_1993-10-18_2014.jpg
57,"(25, 32)",Female,wiki_crop/26/23797926_1988-04-10_2014.jpg
58,"(25, 32)",Female,wiki_crop/58/43796358_1985-07-30_2011.jpg
59,"(25, 32)",Male,wiki_crop/66/6732166_1957-10-16_1983.jpg
60,"(25, 32)",Male,wiki_crop/96/956396_1929-11-02_1973.jpg
61,"(25, 32)",Female,wiki_crop/10/3403910_1982-07-10_2009.jpg
62,"(25, 32)",Male,wiki_crop/20/38565120_1994-02-20_2014.jpg
63,"(25, 32)",Male,wiki_crop/12/14069912_1957-11-25_1990.jpg
64,"(25, 32)",Male,wiki_crop/01/512901_1963-10-29_2012.jpg
65,"(25, 32)",Male,wiki_crop/03/40249703_1995-05-11_2015.jpg
66,"(25, 32)",Male,wiki_crop/74/6368074_1982-03-09_2015.jpg
67,"(25, 32)",Male,wiki_crop/85/1023585_1974-07-26_2007.jpg
68,"(25, 32)",Male,wiki_crop/81/24517681_1980-08-01_2010.jpg
69,"(25, 32)",Male,wiki_crop/03/24053103_1907-05-01_1994.jpg
70,"(25, 32)",Female,wiki_crop/86/41532986_1995-02-23_2012.jpg
71,"(8, 12)",Male,wiki_crop/20/721220_1950-12-13_2012.jpg
72,"(48, 53)",Male,wiki_crop/40/6243340_1946-02-17_2012.jpg
73,"(25, 32)",Male,wiki_crop/06/3732906_1988-05-02_2014.jpg
74,"(8, 12)",Male,wiki_crop/87/804587_1937-03-03_1949.jpg
75,"(60, 100)",Male,wiki_crop/07/44971907_1941-11-25_2012.jpg
76,"(0, 2)",Female,wiki_crop/87/1913987_1980-04-13_2009.jpg
77,"(60, 100)",Female,wiki_crop/18/6447718_1919-11-04_2008.jpg
78,"(25, 32)",Male,wiki_crop/85/12201685_1984-08-20_2012.jpg
79,"(38, 43)",Male,wiki_crop/55/7466355_1972-03-18_2013.jpg
80,"(25, 32)",Female,wiki_crop/84/9147584_1960-07-22_2010.jpg
81,"(8, 12)",Male,wiki_crop/05/16317705_1981-05-10_2008.jpg
82,"(25, 32)",Female,wiki_crop/46/1257746_1927-04-10_2009.jpg
